MCD/AD,TOTAL_ADJ,WHITE_ADJ,BLACK_ADJ,AMIND_ADJ,ASIAN_ADJ,HWN_ADJ,MULTI_ADJ,OTHER_ADJ,UNKNOWN_ADJ,HISP_ADJ,NHISP_ADJ,employed_E,employed_M,unemployed_E,unemployed_M,not_in_lf_E,not_in_lf_M,solo_car_E,solo_car_M,wfh_E,wfh_M,kids_u6_E,kids_u6_M,kids_6_17_E,kids_6_17_M,inc_lt25k_E,inc_lt25k_M,inc_25_49k_E,inc_25_49k_M,inc_50_74k_E,inc_50_74k_M,inc_75_99k_E,inc_75_99k_M,inc_100_149k_E,inc_100_149k_M,inc_150kplus_E,inc_150kplus_M,commute_noncar_E,commute_noncar_M,female_65plus_E,female_65plus_M,female_u18_E,female_u18_M,female_total_E,female_total_M,female_18plus_E,female_18plus_M,female_19_24_E,female_19_24_M,female_25_34_E,female_25_34_M,female_35_49_E,female_35_49_M,female_50_64_E,female_50_64_M,male_65plus_E,male_65plus_M,male_u18_E,male_u18_M,male_total_E,male_total_M,male_18plus_E,male_18plus_M,male_19_24_E,male_19_24_M,male_25_34_E,male_25_34_M,male_35_49_E,male_35_49_M,male_50_64_E,male_50_64_M,X,Harris.Walz,Trump.Vance,Mamdani,Sliwa.Cuomo,Cuomo,total_pop_E,total_pop_M
23,133334,64911,22824,1102,12341,77,12442,19636,1,32253,101081,59191,2490,4684,782,48135,2165,27485,1874,5181,725,11556,1300,20898,1638,8928,964,8245,833,6433,647,5303,697,8594,870,13428,1077,24743,1524,16411,1270,4245,596,73404,2788,55907,1959,2813,421,7073,773,12939,1010,15239,1183,12244,931,4997,715,68938,2460,52852,2013,3441,602,8520,945,13539,1122,13552,1140,1,20694,27140,9072,26182,19096,142342,4264
24,129326,26547,15425,1738,51311,135,14045,20124,1,24793,104531,61689,2463,5026,922,42446,2080,22849,1329,5836,653,8174,824,16392,1413,5633,704,6986,862,6197,718,5312,571,8929,762,10898,870,31463,1688,14688,1111,5034,685,66801,2717,54761,2213,4083,665,8724,914,12224,973,14091,919,11276,879,5479,810,65278,2830,51585,2245,3970,688,8445,885,11438,811,14947,1125,2,23300,15810,13825,14241,11985,132079,4868
25,135739,29656,5703,462,81623,31,8307,9956,1,18218,117520,56023,2592,3777,610,39292,1809,21084,1547,7194,883,6928,1062,14015,1272,6775,722,6053,681,6889,755,4805,720,7958,887,10314,782,25198,1469,14010,784,4887,600,60671,2251,50354,1840,2911,446,7730,719,10763,935,12964,1000,10881,798,4238,502,57784,2546,46404,1855,3140,450,7832,863,10621,910,12832,896,3,16723,16244,8420,15970,13485,118455,4129
26,130093,60580,2346,314,50234,28,8954,7634,3,17198,112893,60117,2191,3233,470,45657,1925,29052,1768,8310,719,7259,832,15021,1090,5097,538,5982,585,6455,744,6166,768,9303,872,17366,1141,21173,1408,19068,1010,3215,663,67903,2103,56608,1634,2401,622,8289,774,11537,823,14499,956,14601,838,3007,436,61826,2132,49899,1669,2202,371,7786,673,10968,863,13537,1056,4,26086,23471,9978,26106,20901,129729,3518
27,134151,49909,11158,959,36965,68,14302,20790,0,35651,98499,56177,2294,4446,746,39242,2190,24037,1330,5266,755,10223,1174,15497,1474,6193,817,8228,946,5414,706,5141,582,8735,807,10641,919,24810,1682,13154,1034,4054,571,64675,3036,51733,2250,3126,484,8419,948,12579,1064,13527,1147,10416,902,5219,611,59162,2508,45292,1902,3327,531,7452,855,10680,959,11525,959,5,17577,20764,7624,20233,16738,123837,4772
28,133720,68542,4537,740,31292,58,14496,14054,1,27715,106004,70898,2450,3880,522,39575,1789,19992,1333,11412,1380,8713,844,17892,1460,8061,821,7360,850,7517,773,6307,654,11451,762,17951,990,38393,1680,14475,1042,3880,566,71573,2743,58583,2160,2668,436,10177,823,14865,1069,15186,1080,12105,768,3276,456,67709,2201,53178,1730,2366,378,9843,965,13940,930,14014,946,6,28281,22274,14844,25594,20917,139282,3847
29,136802,4834,81411,1357,20987,166,11682,16364,1,20499,116301,63922,2305,4972,661,42449,1578,26715,1530,5710,559,8349,840,18037,971,5189,599,6192,676,6321,569,5841,663,8092,616,10787,749,29517,1536,13209,843,6018,618,72645,2125,58080,1909,4670,531,9487,879,13256,894,16110,924,9760,713,5670,613,63474,2025,49698,1757,4253,545,9397,819,11942,799,12929,832,7,36396,6866,16144,10327,9521,136119,3495
30,131770,55654,3810,1354,35421,72,13142,22316,1,37733,94037,64533,2285,4637,634,37782,1832,14368,1051,5482,664,7221,917,15416,1262,6093,732,9264,993,7962,719,6689,749,7559,658,9211,816,43093,2080,11784,823,3563,481,64783,2073,53334,1690,2599,404,10560,904,14597,1037,12830,984,8977,744,3831,497,62980,2077,50719,1730,2922,473,9459,861,15170,994,13282,943,8,17731,14219,13045,11289,8761,127763,3358
31,134956,9211,64145,2738,16387,209,16814,25451,1,28770,106185,61282,2579,6828,916,40724,1546,26339,1476,4161,638,10501,1065,20304,1546,6562,702,6269,658,5104,619,5132,677,7499,734,9378,845,28855,1873,10553,766,6346,676,72637,2347,57103,1858,4517,485,10157,870,13262,1023,16785,1012,7455,742,6193,815,65955,2599,48345,1857,4424,720,9634,787,11636,891,13427,994,9,26695,7195,10390,7976,6908,138592,4172
32,141879,4624,77211,2742,19574,192,14217,23315,4,27734,114143,61526,2227,7168,819,38206,1690,22612,1261,3661,677,8482,1030,18977,1341,7067,684,7855,807,6983,659,5348,583,7678,865,7811,699,33455,1680,11819,769,6248,686,70854,2460,55716,1875,4423,540,9603,784,13138,939,14908,940,7584,765,6211,698,62801,2179,48208,1807,4446,560,10026,885,11519,874,12868,907,10,31730,6464,13339,9452,8807,133655,3975
