Borough ,AD,Reported_pct,Zohran_K_Mamdani_Dem,Curtis_A_Sliwa_Rep,Irene_Estrada_Cons,Zohran_K_Mamdani_WF,Curtis_A_Sliwa_ProtectAnimals,Eric_L_Adams_SafeAffordable_EndAntiSemitism,Joseph_Hernandez_QualityOfLife,Andrew_M_Cuomo_FightDeliver,Jim_Walden_Integrity,WRITE_IN
Queens ,AD 23,94.70%,8231,6738,55,841,348,82,24,19096,25,48
Queens ,AD 24,95.83%,12670,2099,37,1155,157,66,10,11985,23,43
Queens ,AD 25,99.00%,7483,2306,50,937,179,59,26,13485,37,41
Queens ,AD 26,99.00%,8955,4874,62,1023,331,70,25,20901,50,59
Queens ,AD 27,96.72%,6758,3264,33,866,231,71,20,16738,32,51
Queens ,AD 28,99.00%,12234,4361,46,2610,316,74,21,20917,43,110
Queens ,AD 29,94.92%,15249,756,41,895,50,146,21,9521,21,47
Queens ,AD 30,96.12%,11275,2355,36,1770,173,39,17,8761,30,35
Queens ,AD 31,96.49%,9742,997,29,648,71,84,9,6908,15,32
Queens ,AD 32,92.31%,12587,588,41,752,57,154,12,8807,18,42
Queens ,AD 33,95.70%,16108,1721,58,987,123,163,25,11621,33,55
Queens ,AD 34,97.00%,13238,2159,61,2977,174,58,16,9659,37,49
Queens ,AD 35,99.00%,7646,1363,45,871,95,80,14,9149,16,28
Queens ,AD 36,96.08%,20324,1891,26,5513,185,61,22,8847,51,125
Queens ,AD 37,95.04%,17856,3106,42,4769,250,61,19,10457,49,107
Queens ,AD 38,98.86%,11050,2687,45,2184,180,55,23,8328,15,31
Queens ,AD 39,98.99%,9810,2075,38,1955,147,51,20,8360,30,43
Queens ,AD 40,98.28%,5808,2265,47,691,164,69,16,9050,18,31
Manhattan,AD 37,66.67%,0,0,0,0,0,0,0,0,0,0
Brooklyn,AD 41,98.37%,8809,3178,47,825,188,109,16,21247,23,39
Brooklyn,AD 42,99.00%,17197,611,29,3789,48,118,15,10008,34,85
Brooklyn,AD 43,90.00%,20100,526,40,5891,76,123,21,12303,22,94
Brooklyn,AD 44,98.61%,28142,1265,31,10102,159,93,18,12149,65,303
Brooklyn,AD 45,98.91%,4037,1978,23,502,177,67,11,23259,14,32
Brooklyn,AD 46,97.50%,9909,4136,34,1588,301,87,18,18015,44,59
Brooklyn,AD 47,97.50%,5789,2906,33,775,165,44,10,11220,14,16
Brooklyn,AD 48,98.82%,3150,1042,20,393,85,431,7,29003,15,138
Brooklyn,AD 49,96.30%,4725,2366,32,784,176,29,8,7922,15,26
Brooklyn,AD 50,97.78%,20994,1399,25,5574,125,227,19,12188,29,178
Brooklyn,AD 51,98.95%,12325,1249,42,4159,126,69,15,6635,18,86
Brooklyn,AD 52,97.78%,32612,970,32,9331,142,103,27,14890,114,395
Brooklyn,AD 53,97.22%,21947,983,35,6043,75,74,23,6680,24,64
Brooklyn,AD 54,99.00%,12541,765,39,2416,54,86,16,5174,5,30
Brooklyn,AD 55,96.77%,11584,385,42,1697,37,123,16,6076,15,45
Brooklyn,AD 56,95.58%,21761,525,42,6326,42,184,25,6897,23,113
Brooklyn,AD 57,91.73%,27181,542,40,8909,85,174,24,7982,41,188
Brooklyn,AD 58,99.00%,13807,441,44,920,47,123,9,8351,16,34
Brooklyn,AD 59,97.06%,11177,3152,27,753,202,96,14,14029,17,51
Brooklyn,AD 60,99.00%,11136,552,37,625,55,172,20,8080,22,45
Brooklyn,AD 61,99.00%,1,0,0,1,0,0,0,0,0,0
Brooklyn,AD 64,99.00%,3141,905,11,626,62,10,6,3473,25,20
Manhattan,AD 61,99.00%,2611,256,8,295,21,13,5,3940,10,43
Manhattan,AD 65,99.00%,17193,1740,55,3125,164,81,34,13512,45,132
Manhattan,AD 66,99.00%,21645,1078,36,3413,154,59,20,22718,70,249
Manhattan,AD 67,97.37%,21508,1404,31,3122,158,74,31,24313,73,291
Manhattan,AD 68,97.14%,16602,1160,56,2595,108,112,27,11939,42,124
Manhattan,AD 69,97.06%,24848,1083,39,4688,159,92,24,17434,76,324
Manhattan,AD 70,93.40%,21339,756,35,4183,93,156,39,9437,42,154
Manhattan,AD 71,95.65%,20087,887,43,4745,103,114,27,9634,48,158
Manhattan,AD 72,97.87%,13740,1037,43,2763,87,75,19,9414,33,87
Manhattan,AD 73,95.58%,14571,1567,37,1677,152,65,23,34905,73,215
Manhattan,AD 74,98.29%,21280,1676,35,3570,191,67,27,18430,61,227
Manhattan,AD 75,97.27%,20340,1578,32,2922,145,88,20,18481,69,224
Manhattan,AD 76,96.69%,19245,1627,38,2695,162,60,28,30201,69,254
Bronx,AD 77,97.92%,8391,581,45,773,55,99,15,6226,15,35
Bronx,AD 78,98.89%,7556,850,30,835,63,94,16,6098,9,32
Bronx,AD 79,97.92%,8192,633,33,680,63,100,25,6484,7,35
Bronx,AD 80,95.51%,10630,2039,55,1079,112,77,12,8354,21,42
Bronx,AD 81,98.94%,12679,1993,58,2175,165,81,20,13763,51,134
Bronx,AD 82,99.00%,11801,4818,68,1082,265,121,22,14488,21,79
Bronx,AD 83,86.75%,9360,575,35,568,41,102,11,7198,10,38
Bronx,AD 84,98.95%,9017,746,44,1094,64,84,18,6701,16,43
Bronx,AD 85,98.75%,8213,865,37,744,58,86,14,7222,16,44
Bronx,AD 86,97.85%,6706,628,31,616,36,81,18,5951,18,30
Bronx,AD 87,98.67%,11632,1026,41,1044,64,90,26,7487,22,56
Staten Island ,AD 61,98.89%,9857,3453,47,1023,179,108,15,10209,26,51
Staten Island ,AD 62,99.00%,5279,12703,49,510,524,53,13,32062,24,60
Staten Island ,AD 63,97.78%,9918,6958,53,992,366,119,16,20741,40,60
Staten Island ,AD 64,99.00%,5627,7149,32,614,380,46,10,19482,25,51
