"","AD","Harris/Walz","Trump/Vance","Mamdani","Sliwa.Cuomo","Cuomo"
"1","23",20694,27140,9072,26182,19096
"2","24",23300,15810,13825,14241,11985
"3","25",16723,16244,8420,15970,13485
"4","26",26086,23471,9978,26106,20901
"5","27",17577,20764,7624,20233,16738
"6","28",28281,22274,14844,25594,20917
"7","29",36396,6866,16144,10327,9521
"8","30",17731,14219,13045,11289,8761
"9","31",26695,7195,10390,7976,6908
"10","32",31730,6464,13339,9452,8807
"11","33",37469,10738,17095,13465,11621
"12","34",22754,14429,16215,11992,9659
"13","35",16022,11998,8517,10607,9149
"14","36",34799,11649,25837,10923,8847
"15","37",29229,14818,22625,13813,10457
"16","38",18922,14323,13234,11195,8328
"17","39",17132,13064,11765,10582,8360
"18","40",12618,13162,6499,11479,9050
"19","41",20742,22406,9634,24613,21247
"20","42",35721,7442,20986,10667,10008
"21","43",42360,7946,25991,12905,12303
"22","44",44880,9965,38244,13573,12149
"23","45",8282,25164,4539,25414,23259
"24","46",19793,23981,11497,22452,18015
"25","47",11063,18040,6564,14291,11220
"26","48",4675,27993,3543,30130,29003
"27","49",9060,13689,5509,10464,7922
"28","50",33291,11913,26568,13712,12188
"29","51",22548,8198,16484,8010,6635
"30","52",58697,5501,41943,16002,14890
"31","53",33072,7672,27990,7738,6680
"32","54",22030,6596,14957,5993,5174
"33","55",30246,3074,13281,6498,6076
"34","56",40570,3814,28087,7464,6897
"35","57",48809,4435,36090,8609,7982
"36","58",37400,2911,14727,8839,8351
"37","59",31010,14640,11930,17383,14029
"38","60",29988,4315,11761,8687,8080
"39","61",28297,15819,13788,18058,14149
"40","62",14061,51677,5789,45289,32062
"41","63",21250,30406,10910,28065,20741
"42","64",17923,35558,10008,31451,22955
"43","65",33178,10488,20318,15416,13512
"44","66",49168,8233,25058,23950,22718
"45","67",43957,9080,24630,25875,24313
"46","68",36268,7851,19197,13207,11939
"47","69",51134,6701,29536,18676,17434
"48","70",42253,5341,25522,10286,9437
"49","71",39137,7417,24832,10624,9634
"50","72",28816,11468,16503,10538,9414
"51","73",46021,14402,16248,36624,34905
"52","74",43260,9363,24850,20297,18430
"53","75",40465,9060,23262,20204,18481
"54","76",48494,12465,21940,31990,30201
"55","77",20465,7510,9164,6862,6226
"56","78",17944,8242,8391,7011,6098
"57","79",22202,6644,8872,7180,6484
"58","80",22381,11422,11709,10505,8354
"59","81",30342,11613,14854,15921,13763
"60","82",29908,16018,12883,19571,14488
"61","83",32155,4649,9928,7814,7198
"62","84",21930,7742,10111,7511,6701
"63","85",22421,7206,8957,8145,7222
"64","86",17958,8670,7322,6615,5951
"65","87",23964,8458,12676,8577,7487
